team1,team2,year,over_or_under,amount,confidence_level
Packers,Chiefs,2010,under,47,0.38
Packers,Lions,2010,under,32,0.53
Packers,Ravens,2010,under,31,0.54
Steelers,Vikings,2010,under,34,0.54
Steelers,Eagles,2010,under,38,0.58
Steelers,Bills,2010,under,32,0.56
Texans,Eagles,2010,under,43,0.56
Texans,Bills,2010,under,38,0.37
Texans,Chiefs,2010,under,44,0.44
Texans,Lions,2010,under,35,0.52
Texans,Ravens,2010,under,45,0.46
Packers,Steelers,2010,under,41,0.3
Packers,Vikings,2010,under,34,0.34
Packers,Eagles,2010,under,32,0.39
Packers,Bills,2010,under,49,0.33
Packers,Chiefs,2010,under,25,0.42
Packers,Lions,2010,under,48,0.52
Packers,Ravens,2010,under,23,0.53
Steelers,Vikings,2010,under,46,0.43
Steelers,Eagles,2010,under,40,0.6
Steelers,Bills,2010,under,15,0.35
Steelers,Chiefs,2010,under,32,0.48
Steelers,Lions,2010,under,31,0.47
Steelers,Ravens,2010,under,24,0.39
Vikings,Eagles,2010,under,41,0.32
Vikings,Bills,2010,under,44,0.42
Vikings,Chiefs,2010,under,38,0.52
Vikings,Lions,2010,under,16,0.55
Vikings,Ravens,2010,under,20,0.43
Eagles,Bills,2010,under,34,0.55
Eagles,Chiefs,2010,under,40,0.56
Eagles,Lions,2010,under,26,0.59
Eagles,Ravens,2010,under,47,0.32
Bills,Chiefs,2010,under,26,0.42
Bills,Lions,2010,under,24,0.51
Bills,Ravens,2010,under,14,0.47
Chiefs,Lions,2010,under,23,0.46
Chiefs,Ravens,2010,under,38,0.3
Lions,Ravens,2010,under,22,0.52
Vikings,Bills,2010,under,20,0.42
Commanders,Texans,2010,under,49,0.57
Commanders,Packers,2010,under,47,0.44
Commanders,Steelers,2010,under,49,0.53
Commanders,Vikings,2010,under,41,0.45
Commanders,Eagles,2010,under,40,0.55
Commanders,Bills,2010,under,40,0.37
Commanders,Chiefs,2010,under,30,0.46
Commanders,Lions,2010,under,45,0.55
Commanders,Ravens,2010,under,49,0.35
Texans,Packers,2010,under,49,0.4
Texans,Steelers,2010,under,44,0.53
Texans,Vikings,2010,under,49,0.45
Texans,Eagles,2010,under,41,0.36
Texans,Bills,2010,under,34,0.54
Texans,Chiefs,2010,under,36,0.6
Texans,Lions,2010,under,39,0.44
Texans,Ravens,2010,under,15,0.6
Packers,Steelers,2010,under,40,0.57
Packers,Vikings,2010,under,38,0.46
Packers,Eagles,2010,under,40,0.36
Packers,Bills,2010,under,41,0.4
Packers,Chiefs,2010,under,27,0.46
Packers,Lions,2010,under,39,0.58
Packers,Ravens,2010,under,25,0.4
Steelers,Vikings,2010,under,36,0.45
Steelers,Eagles,2010,under,37,0.48
Steelers,Bills,2010,under,34,0.56
Steelers,Chiefs,2010,under,21,0.31
Steelers,Lions,2010,under,33,0.35
