team1,team2,year,score1,score2,winner,over_or_under,amount,confidence_level
Packers,Bills,2010,5,4,Packers,under,41,0.56
Packers,Chiefs,2010,4,19,Chiefs,under,27,0.31
Packers,Lions,2010,1,10,Lions,under,39,0.54
Packers,Ravens,2010,2,23,Ravens,under,25,0.52
Steelers,Vikings,2010,6,8,Vikings,under,36,0.75
Steelers,Eagles,2010,10,3,Steelers,under,37,0.62
Steelers,Bills,2010,3,13,Bills,under,34,0.68
Steelers,Chiefs,2010,8,21,Chiefs,under,21,0.53
Steelers,Lions,2010,1,16,Lions,under,33,0.36
Steelers,Ravens,2010,13,4,Steelers,under,33,0.68
Vikings,Eagles,2010,2,8,Eagles,under,40,0.61
Vikings,Bills,2010,2,15,Bills,under,33,0.37
Vikings,Chiefs,2010,11,9,Vikings,under,30,0.74
Vikings,Lions,2010,5,23,Lions,under,22,0.67
Vikings,Ravens,2010,3,16,Ravens,under,31,0.6
Eagles,Bills,2010,19,18,Eagles,under,13,0.65
Eagles,Chiefs,2010,6,14,Chiefs,under,30,0.78
Eagles,Lions,2010,15,14,Eagles,under,21,0.78
Eagles,Ravens,2010,5,13,Ravens,under,32,0.66
Bills,Chiefs,2010,17,4,Bills,under,29,0.3
Bills,Lions,2010,18,26,Lions,under,6,0.74
Bills,Ravens,2010,10,10,Ravens,under,30,0.77
Chiefs,Lions,2010,20,2,Chiefs,under,28,0.58
Chiefs,Ravens,2010,22,5,Chiefs,under,23,0.43
Lions,Ravens,2010,4,31,Ravens,under,15,0.47
Commanders,Texans,2010,0,0,Texans,under,50,0.67
Commanders,Packers,2010,2,6,Packers,under,42,0.66
Commanders,Steelers,2010,0,1,Steelers,under,49,0.7
Commanders,Vikings,2010,0,3,Vikings,under,47,0.58
Commanders,Eagles,2010,1,11,Eagles,under,38,0.48
Commanders,Bills,2010,2,18,Bills,under,30,0.65
Commanders,Chiefs,2010,0,18,Chiefs,under,32,0.63
Commanders,Lions,2010,0,13,Lions,under,37,0.4
Commanders,Ravens,2010,0,3,Ravens,under,47,0.79
Texans,Packers,2010,7,5,Texans,under,38,0.7
Texans,Steelers,2010,0,12,Steelers,under,38,0.54
Texans,Vikings,2010,4,4,Vikings,under,42,0.61
Commanders,Texans,2010,0,1,Texans,under,49,0.59
Commanders,Packers,2010,0,3,Packers,under,47,0.59
Commanders,Steelers,2010,0,1,Steelers,under,49,0.79
Commanders,Vikings,2010,2,7,Vikings,under,41,0.52
Commanders,Eagles,2010,5,5,Eagles,under,40,0.53
Commanders,Bills,2010,0,10,Bills,under,40,0.37
Commanders,Chiefs,2010,7,13,Chiefs,under,30,0.51
Commanders,Lions,2010,5,0,Commanders,under,45,0.53
Commanders,Ravens,2010,1,0,Commanders,under,49,0.54
Texans,Packers,2010,0,1,Packers,under,49,0.7
Texans,Steelers,2010,0,6,Steelers,under,44,0.61
Texans,Vikings,2010,0,1,Vikings,under,49,0.68
Texans,Eagles,2010,0,9,Eagles,under,41,0.65
Texans,Bills,2010,3,13,Bills,under,34,0.67
Texans,Chiefs,2010,0,14,Chiefs,under,36,0.44
Texans,Lions,2010,2,9,Lions,under,39,0.75
Texans,Ravens,2010,4,31,Ravens,under,15,0.34
Packers,Steelers,2010,0,10,Steelers,under,40,0.32
Packers,Vikings,2010,8,4,Packers,under,38,0.65
